Dataset,Model,Recall,Precision,F1,PR_AUC,Threshold,TN,FP,FN,TP,Train_Rows,Test_Rows,Features,SMOTE,Seed,CV_Recall_Mean,CV_Recall_Std,CV_PR_AUC_Mean,Model_Artifact,Predictions_Artifact,Feature_Importance_Artifact
NBA,RF,0.9828571428571429,0.9322493224932249,0.9568845618915159,0.9861371506212281,0.5,5046,25,6,344,21684,5421,7,True,42,,,,results\artifacts\nba\models\rf.joblib,results\artifacts\nba\predictions\rf_predictions.csv,results\artifacts\nba\rf_feature_importance.csv
NBA,XGB,0.9771428571428571,0.9688385269121813,0.972972972972973,0.9970338474641265,0.5,5060,11,8,342,21684,5421,7,True,42,,,,results\artifacts\nba\models\xgb.joblib,results\artifacts\nba\predictions\xgb_predictions.csv,results\artifacts\nba\xgb_feature_importance.csv
NBA,LGB,0.9714285714285714,0.9798270893371758,0.975609756097561,0.9974019256153446,0.5,5064,7,10,340,21684,5421,7,True,42,,,,results\artifacts\nba\models\lgb.joblib,results\artifacts\nba\predictions\lgb_predictions.csv,results\artifacts\nba\lgb_feature_importance.csv
NBA,MLP,0.9457142857142857,0.8664921465968587,0.9043715846994536,0.9608429482335221,0.5,5020,51,19,331,21684,5421,7,True,42,,,,results\artifacts\nba\models\mlp.pt,results\artifacts\nba\predictions\mlp_predictions.csv,
